User,arroba,hora de publicación,publicación
Blade Musk,@Blade Musk,21:40,"""Puro Burro con primaria Trunca vota por el PAN Y PRI."""
Fatima,@Fatima,21:27,"""PURO JODIDO VOTA POR MORENA."""
Christian Marín,@Christian Marín,21:40,"""Hay que derrocar esta dictadura!!"""
VladyUcXD,@VladyUcXD,21:10,"""🧡 Apoyo a Movimiento Ciudadano con mis emojis."""
Fatima,@Fatima,21:57,"""PURO JODIDO VOTA POR MORENA."""
Santiago Alejandro Gomez Moreno,@Santiago Alejandro Gomez Moreno,21:10,"""Puro gay vota Xochitl."""
Flipe Llergu,@Flipe Llergu,21:26,"""LLOREN CUANDO CLAUDIA SEA PRESIDENTA!!! JAJAJAJA."""
Alejandra Rosales,@Alejandra Rosales,21:05,"""JAJAJA LOS QUE QUIEREN SENTIRSE INTELIGENTES Y DE LA ALTA VOTAN POR COCHITL."""
Wendy Tiznado,@Wendy Tiznado,21:44,"""Va a ganar Xóchitl."""
Karina,@Karina,21:43,"""A los del PRI les falta 🧠."""
JahenAust,@JahenAust,21:08,"""Vamos Claudia, quiero seguir vendiendo micheladas ilegales sobre mi banqueta sin pedo!!! M O R E N A G A N A!"""
Eduardo Perez,@Eduardo Perez,21:18,"""LE QUIEREN DEJAR EL PAÍS A UNA JUDÍA."""
Brianna Salazar,@Brianna Salazar,21:33,"""Ya mucho pedo, qué tiene si alguien vota por MORENA a ustedes qué."""
Alejandra Rosales,@Alejandra Rosales,21:14,"""JAJAJA LOS QUE QUIEREN SENTIRSE INTELIGENTES Y DE LA ALTA VOTAN POR COCHITL."""
EMILY,@EMILY,21:18,"""Que gane el PAN."""
Blade Musk,@Blade Musk,21:06,"""Puro Burro con primaria Trunca vota por el PAN Y PRI."""
Romo Mendez,@Romo Mendez,21:29,"""La Xóchitl va a regresar a vender gelatinas cuando Claudia gane."""
juan martinez,@juan martinez,21:47,"""Qué lástima que Morena tuvo que robar para poder ganar!!!"""
Elsa Hernandez,@Elsa Hernandez,21:50,"""Claudiaaa. Apoyo a Claudia para presidenta."""
Flipe Llergu,@Flipe Llergu,21:23,"""¿A qué hora nos convertimos en Venezuela del Norte?"""
Gostfanter,@Gostfanter,21:32,"""Dejen que se ardan, adiós al PRI y al PAN."""
Hector GD,@Hector GD,21:17,"""PURO JODIDO VOTA POR XOCHITL."""
JahenAust,@JahenAust,21:48,"""Vamos Claudia, quiero seguir vendiendo micheladas ilegales sobre mi banqueta sin pedo!!! M O R E N A G A N A!"""
Leticia Carpenter Fuentes,@Leticia Carpenter Fuentes,21:23,"""XOCHILT PRESIDENTA SOMOS MÁS LOS QUE QUEREMOS DEMOCRACIA. FUERA MORENA, FUERA COMUNISMO!"""
Gerardo,@Gerardo,21:28,"""COMPREN POMADA DE LA CAMPANA PARA EL ARDOR, PORQUE VA GANANDO MORENA."""
Juan Delgado,@Juan Delgado,21:17,"""Puro que no sabe pronunciar la 'R' vota por Xóchitl."""
