User,arroba,hora de publicación,publicación
ING Jose Quintero,@JoseQui58368,21s,"""En respuesta a @XovenesXingones @PartidoMorenaMx y @Claudiashein Jajajajajq ya están listos para perder con su botarga? #VotoMasivoMorenaPTyPV #ClaudiaPresidentaDeMéxico2024"""
hernandez.ricardo48@hotmail.com,@Ricardo48H,46s,"""claro que siii!!!!! #ClaudiaPresidentaDeMéxico2024"""
Sergio Angelo,@soysergioangelo,1min,"""🇲🇽🔥Cuando logre ser un #patriota de verdad; no diré nada pero habrá señales. #EleccionesMéxico2024 #ClaudiaPresidentaDeMéxico2024"""
Heber Villa,@h_phy567,1min,"""#ClaudiaPresidentaDeMéxico2024"""
bowuj,@bowuj,2min,"""#ClaudiaPresidentaDeMéxico2024"""
Jahzeel Anaya,@jahzeel,3min,"""#ClaudiaPresidentaDeMéxico2024 #xochilYaPerdio"""
Sam sam,@Samsam921479,4min,"""Hoy es cuando veremos que los tweets de miles de bots no pueden votar. Claudia Presidente #ClaudiaPresidentaDeMéxico2024"""
el pobrecillo hablador,@elpobrecillo,6min,"""Amor con amor se paga #ClaudiaArrasará #ClaudiaPresidentaDeMéxico2024"""
Kbroncito BDK,@CruzDacrca76,6min,"""#ClaudiaPresidentaDeMéxico2024 #ClaudiaArrasará #EsUnHonorEstarConClaudiaHoy"""
Manuel Moncada,@el_abejita,6min,"""Ya estuvo, 5 de 5 VOTO MASIVO PARA #ClaudiaPresidentaDeMexico2024"""
Gustavo Díaz,@Gustavo_DiazU,16min,"""Treinta metros para doblar la esquina y otros cincuenta para llegar a la casilla. Habemos como trescientas personas en fila... por #ClaudiaPresidentaDeMéxico2024 🤗"""
Hector Cuenca 🦈👨🏻‍🚀🇲🇽,@619Hec,22min,"""Carro completo para morena y claudia, la 4T sigue 6 años mas ,,nada mas fijense a quien afilian a morena por favor. 😒#ClaudiaPresidentaDeMéxico2024"""
El Gato xXx,@El_Gato_xxx,22min,"""Ilusa 🤣🤣🤣 #XochitlCogupta #ElPRIANPRDNoMeRepresenta #ElPRIANPRDNoVa #NiUnVotoAlPRIANPRD #ClaudiaPresidentaDeMéxico2024 #ClaudiaPresidentaDeMéxico"""
Tigrote👊,@Tigrote6,22min,"""Hoy gana México. #ClaudiaPresidentaDeMéxico2024"""
Vycer,@Sublimetallic,22min,"""Yo vote por #ClaudiaPresidentaDeMéxico2024 Tenemos que hacer público nuestro voto, el voto es libre, pero no debería ser secreto,que el PRIAN no nos quiera chamaquear y que tampoco quieran hacer trampa."""
Eduardo Leyva,@eduardoleyvag_,24min,"""Vayamos a votar, con conciencia, ELLOS YA NO VAN A CAMBIAR NI UNIDOS. #ClaudiaPresidentaDeMéxico2024 #vota2024 #salyvota #EleccionesMexico2024"""
🎸🆆🅾🅽2⃣🆂🅺🅴🅻🎧💀,@won2skel,26min,"""🗳️🇲🇽Hoy 2 de junio, Listo mi voto desde Cancún en estas #EleccionesMexico2024 para la próxima presidenta de México #ClaudiaPresidentaDeMéxico2024 Claudia Sheinbaum Pardo y TODO MORENA. VIVA MORENA señores! #votaciones2024"""
Chuy Mx,@chuymlopez,29min,"""Último machetazo al PRIAN! Vamos #ClaudiaPresidentaDeMéxico2024"""
