num_debate,canal,username,fecha,comentario,num_likes,comentario_editado,Claudia,Maynez,Ninguno,Xóchitl,topic
2,unotv,ReynaKauil-zl5yo,28/04/2024,Xochitl solo se la paso atacando a Claudia,144,xochitl solo se la paso atacando a claudia,1,0,0,-1,0
2,unotv,dl1370,28/04/2024,"El candidato argumenta mejor y genera propuestas, las otras solo hablan de lo que ellas hicieron según, en el caso de Claudia solo habla de la 4t y el gobierno de amlo",40,"el candidato argumenta mejor y genera propuestas,las otras solo hablan de lo que ellas hicieron según,en el caso de claudia solo habla de la 4ta transformación y el gobierno de amlo",1,0,0,0,-1
2,unotv,geraldinemunguia5030,28/04/2024,"Honestamente la candidata Xochitl parece un completo chiste, solo interrumpe y hace comentarios sin coherencia, debería ser destituida del puesto de candidata, no tiene ni la educación ni los valores para estar en esa posición... Por favor los que la apoyan vean la realidad es totalmente incoherente. Lindo día para todos los Mexicanos.",45,"honestamente la candidata xochitl parece un completo chiste,solo interrumpe y hace comentarios sin coherencia,debería hacer destituida del puesto de candidata,no tiene ni la educación ni los valores para estar en esa posición...por favor los que la apoyan vean la realidad es totalmente incoherente.lindo día para todos los mexicanos.",0,0,0,-1,1
2,unotv,lettysanchezhernandez3787,28/04/2024,Se nota que Chochil salió de una vecindad  no tiene táctica nada que ver con la Doctora Claudia.,85,se nota que xochitl salió de una vecindad no tiene táctica nada que ver con la doctora claudia.,1,0,0,-1,21
2,unotv,ponchorp7644,28/04/2024,Da pena ajena X Galvez,81,da pena ajena xochitl galvez,0,0,0,-1,0
2,unotv,juliogonzaleztello,28/04/2024,Es obvio que Xochitl trae aparato donde le dicen todo el modo de hablar la delata,61,es obvio que xochitl trae aparato donde le dicen todo el modo de hablar la delata,0,0,0,-1,0
2,unotv,danielanguiano8036,28/04/2024,plan c apoyado por Claudia,32,plan c apoyado por claudia,1,0,0,0,18
2,unotv,theking8455,28/04/2024,ME LLAMÓ LA ATENCIÓN LA PROPUESTA DE XOCHITL DE QUITAR EL ISR A QUIENES GANEN MENOS DE $15000 AL MES  PERO ¿CÓMO PLANEAN PAGAR LOS PROGRAMAS SOCIALES Y PROYECTOS SI CONSTITUYEN EL 70%?,43,me llamó la atención la propuesta de xochitl de quitar el isr a quienes ganen menos de$15000 al mes pero¿cómo planean pagar los programas sociales y proyectos si constituyen el 70%?,0,0,0,-1,13
2,unotv,mtcv8083,28/04/2024,"Mientras las comadres se pelean, el único que veo dando propuestas y respondiendo preguntas es a Maynez, yo pensaba votar por Morena, porque en comparación a otros sexenios, estamos mejor, pero sinceramente la mentira del precio de la gasolina y el basar sólo la economía y el desarrollo en los hidrocarburos me hace desconfiar, además del hecho de que que no de respuestas claras. Me gusta la visión mas congruente y a futuro de Maynez, el pensar en el cuidado ambiental y energias limpias que a todos les vale mother... Y si no votamos ni por Chana ni Juana?",28,"mientras las comadres se pelean,el único que veo dando propuestas y respondiendo preguntas es a maynez,yo pensaba votar por morena,porque en comparación a otros sexenios,estamos mejor,pero sinceramente la mentira del precio de la gasolina y el basar sólo la economía y el desarrollo en los hidrocarburos me hace desconfiar,además del hecho de que que no de respuestas claras.me gusta la visión más congruente y a futuro de maynez,el pensar en el cuidado ambiental y energias limpias que a todos les vale mother...y si no votamos ni por chana ni juana?",-1,1,0,0,-1
2,unotv,HallidayASR,28/04/2024,Definitivamente voy con Maynez,51,definitivamente voy con maynez,0,1,0,0,-1
2,unotv,edithgarcia4713,28/04/2024,"Esa X Gálvez parece un chiste, un pésimo chiste y una broma de muy mal gusto",119,"esa xochitl galvez parece un chiste,un pésimo chiste y una broma de muy mal gusto",0,0,0,-1,0
2,unotv,efrainaguilard5878,28/04/2024,"No mientan, la gasolina no a bajado al contrario subió demasiado en Q.Roo cuesta $ 25.79 la magna es el de menor precio.",13,"no mientan,la gasolina no a bajado al contrario subió demasiado en que.roo cuesta$25.79 la magna es el de menor precio.",-1,0,0,0,13
2,unotv,Bubu_Gamer05,28/04/2024,"La chochil nadamás fue a hacer el ridículo de nuevo, en vez de mostrar proyectos y planes para el futuro de México fue a decirle lo mismo de lo mismo a Claudia, queda claro que lejos de ver por el país solo quiere vengarse de las humillaciones que ah recibido por causa de su corrupción y de su ineptitud para el cargo",22,"la xochitl nadamás fue a hacer el ridículo de nuevo,en vez de mostrar proyectos y planes para el futuro de méxico fue a decirle lo mismo de lo mismo a claudia,queda claro que lejos de ver por el país solo quiere vengarse de las humillaciones que ah recibido por causa de su corrupción y de su ineptitud para el cargo",1,0,0,-1,-1
2,unotv,MarthaRamirez-vi6ge,28/04/2024,Maynez y los gobernadores de Monterrey y Jalisco no tienen ningún logro. El presidente fue el que terminó las obras de los trajes y el agua en esos estados.,44,maynez y los gobernadores de monterrey y jalisco no tienen ningún logro.el presidente fue el que terminó las obras de los trajes y el agua en esos estados.,-1,1,0,0,4
2,unotv,user-lt5od1pm7o,28/04/2024,Ala oposición les duele demasiado que con este sexenio están dando el dinero al pueblo  .....y no se van a sus bolsillos vancarios,45,a la oposición les duele demasiado que con este sexenio están dando el dinero al pueblo.....y no se van a sus bolsillos vancarios,-1,-1,0,-1,24
2,unotv,Villianforxh,28/04/2024,"Gálvez no fue a debatir,fue a tirarle hate a claudia",22,"galvez no fue a debatir,fue a tirarle odio a claudia",0,0,0,-1,21
2,unotv,Somek-one,28/04/2024,"En pocas palabras Xochitl, es la definición de vergüenza envidia rencor manipulación y  de muchas mas jajaja se veia bien mal la neta",54,"en pocas palabras xochitl,es la definición de vergüenza envidia rencor manipulación y de muchas más jajaja se veía bien mal la neta",0,0,0,-1,-1
2,unotv,JoshTrue-xt9bf,28/04/2024,Claro que xochitl fue mas xochitl..... Mas lavandera de barrio y cero propuestas realistas,54,claro que xochitl fue más xochitl.....más lavandera de barrio y cero propuestas realistas,0,0,0,-1,-1
2,unotv,marijozroldan6186,28/04/2024,Eso de quitar impuestos a quien gane menos de 15mil se me hace una oportunidad a todos los corruptos para condonar impuestos,23,eso de quitar impuestos a quien gane menos de 15mil se me hace una oportunidad a todos los corruptos para condonar impuestos,-1,0,-1,0,-1
2,unotv,lorenaguadalupegarcia6367,28/04/2024,la gasolina ya aumentoo en meses lo que no subio en añoos,9,la gasolina ya aumentoo en meses lo que no subio en añoos,-1,0,-1,0,-1
2,unotv,hectordanielalmarazruiz2626,28/04/2024,"Claudia bastante fuerte, Maynes presente, pero  Xochil le falta leer Maquiavelo",33,"claudia bastante fuerte,maynez presente,pero xochitl le falta leer maquiavelo",1,1,0,-1,-1
2,unotv,lorenzolopez1835,28/04/2024,Por qué le quitaron el audio a maynez se pasan de lanza esto es corrupción en lo absoluto,11,por qué le quitaron el audio a maynez se pasan de lanza esto es corrupción en lo absoluto,-1,-1,0,0,27
2,unotv,jeikotrodriguez,28/04/2024,Me gustaría q este msj si llegara alos candidatos y q si cumplan c apoyado por Claudiaon algo y q a todas las personas q estén con una discapacidad los apoyen más y q en los hospitales del imss no les nieguen el papel para poder anotarse al programa y q no les digan alas personas con discapacidad q ellos si pueden trabajar,16,me gustaría que este msj si llegara a lo candidatos y que si cumplan c apoyado por claudiaon algo y que a todas las personas que estén con una discapacidad los apoyen más y que en los hospitales del IMSS no les nieguen el papel para poder anotarse al programa y que no les digan a las personas con discapacidad que ellos si pueden trabajar,1,0,0,0,-1
2,unotv,natycaudillo4523,28/04/2024,"Que pasó ahí con la despedida de Máynez, lo silenciaron y pusieron la voz de la botarga.",23,"que pasó ahí con la despedida de maynez,lo silenciaron y pusieron la voz de la botarga.",0,1,0,-1,-1
2,unotv,benitosolis7773,28/04/2024,"Candidatos debemos hablar de un problema fuerte que vivimos día a día en todo el territorio méxicano  "" LA INSEGURIDAD""",3,"candidatos debemos hablar de un problema fuerte que vivimos día a día en todo el territorio méxicano""la inseguridad""",-1,-1,-1,0,1
2,unotv,Rovi-vs4in,28/04/2024,"Auch me dolió, pero me duele más un México corrupto.",7,"auch me dolió,pero me duele más un méxico corrupto.",0,-1,0,-1,-1
