num_debate,canal,username,fecha,comentario,num_likes,comentario_editado,Claudia,Maynez,Ninguno,Xóchitl,topic
1,unotv,fridamendez6687,07/04/2024,"No se vayan con el partido, vean la persona, dejen de ser tan mediocres en sus decisiones",78,"no se vayan con el partido,vean la persona,dejen de hacer tan mediocres en sus decisiones",0,-1,-1,0,-1
1,unotv,robertoubert-mi1qj,07/04/2024,Ni con acordeon,17,ni con acordeon,0,0,-1,0,-1
1,unotv,alexc8507,07/04/2024,"Mi universidad es pública, y ya varios años que se quito la beca Benito Juárez, espero regrese, no se la razón de que se quito pero espero regrese",2,"mi universidad es pública,y ya varios años que se quito la beca benito juárez,espero regrese,no se la razón de que se quito pero espero regrese",-1,0,0,0,-1
1,unotv,manuelhern5176,07/04/2024,Arriba Claudia centrada en su trabajo,4,arriba claudia centrada en su trabajo,1,0,0,0,36
1,unotv,user-fm1wy2yt7m,07/04/2024,Yo trabajo en una farmacia y esta mal recetas electrónicas a solo que no traiga antibiótico por que no serán aceptadas por políticas de las empresas,10,yo trabajo en una farmacia y esta mal recetas electrónicas a solo que no traiga antibiótico por que no serán aceptadas por políticas de las empresas,-1,0,-1,0,25
1,unotv,ariannan5239,07/04/2024,Apoyo a claudia,49,apoyo a claudia,1,0,0,0,0
1,unotv,royerhernandez0313,07/04/2024,"xochitl hizo un gran ridículo y está claro que no está preparada, Claudia nos hizo recordar que fue gobernante de la CDMX y todos sabemos cómo está la ciudad y Maynes, pues bueno, sonrió y estaba ahí moviendo las manos... Y uno de esos 3 será nuestro presidente",1,"xochitl hizo un gran ridículo y está claro que no está preparada,claudia nos hizo recordar que fue gobernante de la cdmx y todos sabemos cómo está la ciudad y maynez,pues bueno,sonrió y estaba ahí moviendo las manos...y uno de esos 3 será nuestro presidente",1,1,0,-1,3
1,unotv,user-cj1gj7dd7k,07/04/2024,Cuando Maines habla de pronosticar enfermedades con inteligencia artificial y tener medicamentos en resguardo esperando que la gente se enferme me da a pensar.,26,cuando Maynez habla de pronosticar enfermedades con inteligencia artificial y tener medicamentos en resguardo esperando que la gente se enferme me da a pensar.,0,-1,0,0,-1
1,unotv,panda_play4131,07/04/2024,"que demonios!!!! esto de verdad es muy lamentable, se están riendo en nuestras caras por dios, los 3 son patetiquisimos estas son las opciones?!!! es peor que el anterior y no por la organización si no por los candidatos, de verdad es peor que la vez pasada y pensé que eso seria imposible. es un circo donde se atacan los unos a los otros cuando no saben que responder, dan una respuesta de 3 a 5 min y le dedican 10 a atacar al otro.... no podemos botar por un gato? va a ser igual, nada va a cambiar y solo será una cara bonita para dar, pero todo serán decisiones del partido político y no por el candidato, así como es ACTUALMENTE!!",11,"que demonios!!!!esto de verdad es muy lamentable,se están riendo en nuestras caras por dios,los 3 son patetiquisimos estas son las opciones?!!!es peor que el anterior y no por la organización si no por los candidatos,de verdad es peor que la vez pasada y pensé que eso seria imposible.es un circo donde se atacan los unos a los otros cuando no saben que responder,dan una respuesta de 3 a 5 min y le dedican 10 a atacar al otro....no podemos botar por un gato?va a hacer igual,nada va a cambiar y solo será una cara bonita para dar,pero todo serán decisiones del partido político y no por el candidato,así como es actualmente!!",-1,-1,0,-1,-1
1,unotv,XPRESSGAMES.0313,07/04/2024,"El día que en vez de pelear, tomen en serio estos debates, hablaran de planes y estrategia sin mencionar el pasado de forma agresora sino reflexiva, ese día habrá candidatos que valgan la pena escuchar.",2,"el día que en vez de pelear,tomen en serio estos debates,hablaran de planes y estrategia sin mencionar el pasado de forma agresora sino reflexiva,ese día habrá candidatos que valgan la pena escuchar.",-1,-1,0,-1,6
